time,open,high,low,close,(blank),(blank),Chars,(blank),(blank),(blank),(blank),Bullish Micro Trend,Bearish Micro Trend,Alpha Track,WMA,TD8,TD8,TD9,TD9,Big Bull Arrow,Big Bear Arrow,Over-Bought,Over-Sold,RSI,RSI Line 2,RSI Line 3,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label,Net Longs,Net Shorts,Net Shorts,Net Ratio,Longs (Open),Longs (High,Longs (Low),Longs (Close),Shorts (Open),Shorts (High,Shorts (Low),Shorts (Close),Delta (Open),Delta (High,Delta (Low),Delta (Close),Ratio (Open),Ratio (High,Ratio (Low),Ratio (Close),Plot,Plot,Plot,Plot,RSI 100,RSI 70,RSI 50,RSI 30,RSI 0,Shapes,Histogram
2025-03-13T00:55:00-04:00,0.00023621084559816307,0.00025164033047492626,0.00014115052737170361,0.00016868062415243776,NaN,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,NaN
2025-03-13T01:00:00-04:00,0.00016868062415243776,0.00021551000363277754,0.00006137584470827265,0.00009428656865676538,NaN,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,NaN
2025-03-13T01:05:00-04:00,0.00009428656865676538,0.00016372736535739068,0.00009428656865676538,0.00012558950447089917,NaN,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,NaN
2025-03-13T01:10:00-04:00,0.00012558950447089917,0.00021960017788445125,0.00012558950447089917,0.00019704458869755816,NaN,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,NaN
2025-03-13T01:15:00-04:00,0.00019704458869755816,0.00020875905697282873,0.00013735338572461216,0.00014776935838391975,NaN,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,NaN
2025-03-13T01:20:00-04:00,0.00014776935838391975,0.00019094708495048497,0.00010679961548300669,0.00015989302140326708,NaN,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,NaN
2025-03-13T01:25:00-04:00,0.00015989302140326708,0.00020293240965404936,0.00012728376159570746,0.00013698260084464586,NaN,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,NaN
2025-03-13T01:30:00-04:00,0.00013698260084464586,0.0003485524100190411,0.00013698260084464586,0.00032236342148450587,NaN,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,NaN
2025-03-13T01:35:00-04:00,0.00032236342148450587,0.00032430292294940977,0.00017671346517687616,0.00021934944364463102,NaN,0,0,0,0,0,0,NaN,NaN,0.000013278198780557057,0.0001940519137910744,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,NaN
2025-03-13T01:40:00-04:00,0.00021934944364463102,0.0002963529578021649,0.00020641327114312194,0.00024482237704289057,NaN,0,0,0,0,0,0,NaN,NaN,0.00002244881844365627,0.00020808396404990517,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,NaN
2025-03-13T01:45:00-04:00,0.00024482237704289057,0.00026968317708345017,0.00017195141718325771,0.00021377048551540057,NaN,0,0,0,0,0,0,NaN,NaN,0.00002244881844365627,0.00021421359705011677,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,-10.812822241914887
2025-03-13T01:50:00-04:00,0.00021377048551540057,0.0004107897568313326,0.00021377048551540057,0.00031649596092474925,NaN,0,0,0,0,0,0,NaN,NaN,0.00002244881844365627,0.00023823312697978397,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,17.141100658680706
2025-03-13T01:55:00-04:00,0.00031649596092474925,0.0005717233773193573,0.00031649596092474925,0.0004219908867219807,NaN,0,0,0,0,0,0,NaN,NaN,0.00002244881844365627,0.0002791092763699231,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,-2.4134474259943204
2025-03-13T02:00:00-04:00,0.0004219908867219807,0.0007688233977478678,0.0004219908867219807,0.0006138044866111605,NaN,0,0,0,0,0,0,NaN,NaN,0.000029241581763534868,0.00035334933911513314,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,8.789903119267777
2025-03-13T02:05:00-04:00,0.0006138044866111605,0.0007901660827704394,0.00048353455804426513,0.0005755322752417202,NaN,0,0,0,0,1,0,NaN,NaN,0.000045732039070074035,0.00040957862340362756,NaN,NaN,NaN,NaN,0,0,NaN,NaN,69.47241438569961,NaN,NaN,69.47241438569961,NaN,69.47241438569961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,-7.992389809340281
2025-03-13T02:10:00-04:00,0.0005755322752417202,0.000845493809801236,0.0004927270969973958,0.0006138297524305317,NaN,0,0,0,0,0,0,NaN,NaN,0.00008557408178779076,0.0004642309752668076,NaN,NaN,NaN,NaN,0,0,NaN,NaN,70.63184619562251,NaN,NaN,NaN,NaN,NaN,NaN,70.63184619562251,NaN,70.63184619562251,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,-0.8474502055955071
2025-03-13T02:15:00-04:00,0.0006138297524305317,0.0006138297524305317,0.00042877075704926364,0.0004749580090858727,NaN,0,0,0,0,0,0,1,0,0.00012883896259868876,0.0004805123750924805,NaN,NaN,NaN,NaN,0,0,NaN,NaN,61.509192593759884,67.20448439169401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,-20.04205087474643
2025-03-13T02:20:00-04:00,0.0004749580090858727,0.0016090083009014584,0.00034877250953195874,0.0004228426189200159,NaN,0,0,0,0,0,0,0,0,0.00016150603552328067,0.00048297970604939633,NaN,NaN,NaN,NaN,0,0,NaN,NaN,58.45778801354024,62.831136202617124,NaN,58.45778801354024,NaN,58.45778801354024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,-30.243513662614387
2025-03-13T02:25:00-04:00,0.0004228426189200159,0.0006251791836901402,0.0004228426189200159,0.0005094926973864064,NaN,0,0,0,0,0,0,0,0,0.00020017122017473908,0.0004982549821379148,NaN,NaN,NaN,NaN,0,0,NaN,NaN,61.84683785556655,62.33898702909184,64.12486920780098,NaN,NaN,NaN,NaN,61.84683785556655,NaN,61.84683785556655,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,6.029690226471377
2025-03-13T02:30:00-04:00,0.0005094926973864064,0.0005201139714681513,0.0004017028649631081,0.0004081659660553641,NaN,0,0,0,0,0,0,0,0,0.00022328174749480854,0.0004873833492859246,NaN,NaN,NaN,NaN,0,0,0.000979237771087241,0.00003739754153534957,56.08483413507781,59.211910582084826,61.668389894942905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,-7.050989594014705
2025-03-13T02:35:00-04:00,0.0004081659660553641,0.00046120448562963443,0.0003489316592950275,0.00038303802056918203,NaN,0,0,0,0,0,0,0,0,0.00024103244450307225,0.00046716622776914315,NaN,NaN,NaN,NaN,0,0,0.000984048291138716,0.000048992444044503324,54.723246739462866,56.967578660773846,59.31798427785837,54.723246739462866,NaN,54.723246739462866,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,-4.305578058630868
2025-03-13T02:40:00-04:00,0.00038303802056918203,0.0005094113406681337,0.00038303802056918203,0.0004703549268585608,NaN,0,0,0,0,0,0,0,0,0.00026639892029004853,0.0004629337750736945,NaN,NaN,NaN,NaN,0,0,0.0009902458051018106,0.00007325577079114821,58.49407076867697,57.73082471472541,58.52440449629189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,-0.2279370472528761
2025-03-13T02:45:00-04:00,0.0004703549268585608,0.0006376794901677735,0.00043899399749451726,0.0005399750919994325,NaN,0,0,0,0,0,0,0,0,0.0002967962727022023,0.00047155059895894076,NaN,NaN,NaN,NaN,0,0,0.0010020392115413865,0.0000941879732296803,61.2641695313057,59.49749712301555,59.01095080965372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,3.268100670864026
2025-03-13T02:50:00-04:00,0.0005399750919994325,0.0007236831541555844,0.00046374715624057113,0.0006113700047911802,NaN,0,0,0,0,0,0,1,0,0.0003317489096009776,0.0004960870586161305,NaN,NaN,NaN,NaN,0,0,0.0010198517708470672,0.00011268170667267546,63.9232382561621,61.71036768958882,60.36065924962127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,5.665202756554212
2025-03-13T02:55:00-04:00,0.0006113700047911802,0.0011247078550565331,0.000592676426628158,0.0009969176387636814,NaN,0,0,0,0,1,0,1,0,0.0004056565461746113,0.0005969366510778324,NaN,NaN,NaN,NaN,0,0,0.001086395295783322,0.00012485664762465308,74.21651699074397,67.9634423401664,64.16205079489383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,30.59329346245008
2025-03-13T03:00:00-04:00,0.0009969176387636814,0.001273628515284347,0.0008449920772629643,0.0010520444348578524,NaN,0,0,0,0,0,0,1,0,0.0004774774226949714,0.0007002985386176317,NaN,NaN,NaN,NaN,0,0,0.001167635985089433,0.00011755020357511706,75.30160343543452,71.63252288780046,67.89728684134715,NaN,NaN,NaN,NaN,75.30160343543452,NaN,75.30160343543452,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,4.374323953636065
2025-03-13T03:05:00-04:00,0.0010520444348578524,0.0012125102961034182,0.0008722450208168447,0.0009305592469428003,NaN,0,0,0,1,0,0,1,0,0.0005278198476113968,0.000766539245779488,NaN,NaN,NaN,NaN,0,0,0.001225926054658703,0.00012072305281575247,68.46362245402592,70.0480726709132,68.97267975613018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,-9.639877612350155
2025-03-13T03:10:00-04:00,0.0009305592469428003,0.0011879756697528432,0.0008357973148152132,0.00091850854553467,NaN,0,0,0,0,0,0,1,0,0.0005712297029362049,0.0008190872209258783,NaN,NaN,NaN,NaN,0,0,0.00127682417247187,0.0001395638121069445,67.805866760926,68.9269697159196,68.94982473602488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,15.431154585784263
2025-03-13T03:15:00-04:00,0.00091850854553467,0.0009498148811972229,0.0006684746577456383,0.0008432686990599599,NaN,0,0,0,0,0,0,1,0,0.0006014562580610665,0.0008474979857073655,NaN,NaN,NaN,NaN,0,0,0.0012925196453430854,0.0001702241237644372,63.691469082751055,66.30921939933532,67.6295220676801,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,-8.13670404385794
2025-03-13T03:20:00-04:00,0.0008432686990599599,0.0010361423637141327,0.0007783296125406683,0.0008130563777669627,NaN,0,0,0,0,0,0,0,0,0.0006249673824728327,0.0008601973366079287,NaN,NaN,NaN,NaN,0,0,0.0013096425210886798,0.00019662760814604486,62.06295206667917,64.18608573300725,65.90780390034368,62.06295206667917,NaN,62.06295206667917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,-3.2672676561307554
2025-03-13T03:25:00-04:00,0.0008130563777669627,0.0011505349252059905,0.0007890016258711653,0.0009722531604462548,NaN,0,0,0,0,0,0,1,0,0.0006635546911365463,0.0008951800805510664,NaN,NaN,NaN,NaN,0,0,0.0013296476159286067,0.00023484880058081877,66.86989263982437,65.52798918641581,65.71789654337974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,15.967958257065497
2025-03-13T03:30:00-04:00,0.0009722531604462548,0.001052697782131071,0.0009010689653444559,0.0010012041890836811,NaN,0,0,0,0,0,0,1,0,0.0007010713020195612,0.0009247997361419626,NaN,NaN,NaN,NaN,0,0,0.0013408498656159317,0.0002658244119344689,67.67211886680306,66.60005402660943,66.15897528499458,NaN,NaN,NaN,NaN,67.67211886680306,NaN,67.67211886680306,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,70,50,30,0,0,1.1999929637443785
